Lexema: program	Tipo: TKN_PROGRAM	Linea: 1	Columna: 0
Lexema: {	Tipo: TKN_LBRACE	Linea: 1	Columna: 8
Lexema: int	Tipo: TKN_TIPO	Linea: 2	Columna: 5
Lexema: x	Tipo: TKN_ID	Linea: 2	Columna: 9
Lexema: ,	Tipo: TKN_COMMA	Linea: 2	Columna: 10
Lexema: y	Tipo: TKN_ID	Linea: 2	Columna: 12
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 2	Columna: 13
Lexema: float	Tipo: TKN_TIPO	Linea: 3	Columna: 5
Lexema: a	Tipo: TKN_ID	Linea: 3	Columna: 11
Lexema: ,	Tipo: TKN_COMMA	Linea: 3	Columna: 12
Lexema: g	Tipo: TKN_ID	Linea: 3	Columna: 14
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 3	Columna: 15
Lexema: bool	Tipo: TKN_TIPO	Linea: 4	Columna: 5
Lexema: c	Tipo: TKN_ID	Linea: 4	Columna: 10
Lexema: ,	Tipo: TKN_COMMA	Linea: 4	Columna: 11
Lexema: d	Tipo: TKN_ID	Linea: 4	Columna: 13
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 4	Columna: 14
Lexema: c	Tipo: TKN_ID	Linea: 5	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 5	Columna: 7
Lexema: true	Tipo: TKN_ID	Linea: 5	Columna: 9
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 5	Columna: 13
Lexema: x	Tipo: TKN_ID	Linea: 6	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 6	Columna: 6
Lexema: 5	Tipo: TKN_NUM	Linea: 6	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 6	Columna: 8
Lexema: y	Tipo: TKN_ID	Linea: 7	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 7	Columna: 6
Lexema: 4	Tipo: TKN_NUM	Linea: 7	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 7	Columna: 8
Lexema: a	Tipo: TKN_ID	Linea: 8	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 8	Columna: 6
Lexema: 0.0	Tipo: TKN_NUM	Linea: 8	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 8	Columna: 10
Lexema: g	Tipo: TKN_ID	Linea: 9	Columna: 5
Lexema: =	Tipo: TKN_ASSIGN	Linea: 9	Columna: 6
Lexema: 3.0	Tipo: TKN_NUM	Linea: 9	Columna: 7
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 9	Columna: 10
Lexema: do	Tipo: TKN_DO	Linea: 10	Columna: 5
Lexema: {	Tipo: TKN_LBRACE	Linea: 10	Columna: 8
Lexema: if	Tipo: TKN_IF	Linea: 11	Columna: 10
Lexema: (	Tipo: TKN_LPAREN	Linea: 11	Columna: 12
Lexema: x	Tipo: TKN_ID	Linea: 11	Columna: 13
Lexema: <	Tipo: TKN_LESS	Linea: 11	Columna: 14
Lexema: y	Tipo: TKN_ID	Linea: 11	Columna: 15
Lexema: )	Tipo: TKN_RPAREN	Linea: 11	Columna: 16
Lexema: {	Tipo: TKN_LBRACE	Linea: 11	Columna: 17
Lexema: y	Tipo: TKN_ID	Linea: 12	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 12	Columna: 16
Lexema: y	Tipo: TKN_ID	Linea: 12	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 12	Columna: 18
Lexema: 1	Tipo: TKN_NUM	Linea: 12	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 12	Columna: 20
Lexema: }	Tipo: TKN_RBRACE	Linea: 13	Columna: 10
Lexema: else	Tipo: TKN_ELSE	Linea: 13	Columna: 12
Lexema: {	Tipo: TKN_LBRACE	Linea: 13	Columna: 17
Lexema: x	Tipo: TKN_ID	Linea: 14	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 14	Columna: 16
Lexema: x	Tipo: TKN_ID	Linea: 14	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 14	Columna: 18
Lexema: 2	Tipo: TKN_NUM	Linea: 14	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 14	Columna: 20
Lexema: a	Tipo: TKN_ID	Linea: 15	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 15	Columna: 16
Lexema: a	Tipo: TKN_ID	Linea: 15	Columna: 17
Lexema: *	Tipo: TKN_MULTI	Linea: 15	Columna: 18
Lexema: x	Tipo: TKN_ID	Linea: 15	Columna: 19
Lexema: +	Tipo: TKN_ADD	Linea: 15	Columna: 20
Lexema: g	Tipo: TKN_ID	Linea: 15	Columna: 21
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 15	Columna: 22
Lexema: y	Tipo: TKN_ID	Linea: 16	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 16	Columna: 16
Lexema: y	Tipo: TKN_ID	Linea: 16	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 16	Columna: 18
Lexema: 1	Tipo: TKN_NUM	Linea: 16	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 16	Columna: 20
